customer_id,company,plan,contract_start,nps_score,login_days_30,feature_usage_rate,support_tickets,onboarding_complete,arr
CS001,Acme Corp,Premium,2023-01-15,85,28,0.92,1,true,1800000
CS002,TechStart Inc,Standard,2023-02-20,72,18,0.65,3,true,650000
CS003,Global Solutions,Basic,2023-03-10,45,8,0.35,8,false,180000
CS004,Innovation Labs,Premium,2023-04-05,-25,2,0.15,12,false,120000
CS005,Digital Enterprises,Standard,2023-05-12,68,22,0.78,2,true,750000
CS006,Future Systems,Premium,2023-06-01,92,30,0.98,0,true,2000000
CS007,Smart Solutions,Basic,2023-07-08,15,5,0.28,10,false,150000
CS008,Cloud Dynamics,Standard,2023-08-14,78,25,0.82,2,true,820000
CS009,Tech Pioneers,Premium,2023-09-03,88,29,0.95,1,true,1900000
CS010,Value Creation,Basic,2023-10-11,35,6,0.30,9,false,160000
CS011,Enterprise Builders,Standard,2023-11-07,71,20,0.70,3,true,700000
CS012,Apex Solutions,Premium,2023-12-02,90,28,0.96,0,true,1950000
CS013,Growth Partners,Basic,2024-01-09,22,4,0.25,11,false,140000
CS014,Market Leaders,Standard,2024-02-14,75,24,0.80,2,true,800000
CS015,Quality First,Premium,2024-03-05,86,27,0.88,1,true,1700000
CS016,Success Metrics,Basic,2024-04-10,12,3,0.20,13,false,130000
CS017,Momentum Inc,Standard,2024-05-08,69,19,0.72,3,true,680000
CS018,Excellence Corp,Premium,2024-06-01,91,29,0.97,0,true,1950000
CS019,Progress Partners,Basic,2024-01-20,28,7,0.32,8,false,170000
CS020,Digital Leaders,Standard,2024-02-18,73,21,0.75,2,true,750000
CS021,Innovation First,Premium,2024-03-12,87,28,0.91,1,true,1800000
CS022,Trusted Solutions,Basic,2024-04-15,18,5,0.28,10,false,155000
CS023,Growth Catalyst,Standard,2024-05-20,76,23,0.79,2,true,820000
CS024,Premium Services,Premium,2024-06-10,89,30,0.94,1,true,1900000
CS025,Essential Corp,Basic,2024-02-01,25,6,0.33,9,false,175000
CS026,Strategic Partners,Standard,2024-03-08,72,20,0.68,3,true,720000
CS027,Leading Edge,Premium,2024-04-12,84,26,0.86,2,true,1650000
CS028,Star Enterprises,Basic,2024-05-16,30,8,0.38,7,false,190000
CS029,Rapid Growth,Standard,2024-06-14,74,22,0.77,2,true,780000
CS030,Top Performer,Premium,2024-01-25,93,29,0.99,0,true,2000000
CS031,Building Success,Basic,2024-02-28,20,4,0.22,12,false,125000
CS032,Team Driven,Standard,2024-03-20,70,18,0.65,4,true,680000
CS033,Peak Performance,Premium,2024-04-18,85,27,0.89,1,true,1750000
CS034,Rising Star,Basic,2024-05-22,35,9,0.40,6,false,210000
CS035,Advancing Forward,Standard,2024-06-19,77,25,0.82,1,true,850000
CS036,Elite Solutions,Premium,2024-02-05,88,28,0.93,1,true,1850000
CS037,Solid Foundation,Basic,2024-03-15,32,7,0.35,8,false,185000
CS038,Dynamic Growth,Standard,2024-04-22,75,23,0.81,2,true,810000
CS039,Excellence Delivered,Premium,2024-05-30,92,30,0.98,0,true,1950000
CS040,Emerging Leader,Basic,2024-06-08,26,6,0.31,9,false,172000
CS041,Momentum Builder,Standard,2024-01-30,68,17,0.62,4,true,650000
CS042,Superior Choice,Premium,2024-02-22,86,29,0.92,1,true,1800000
CS043,Cornerstone Inc,Basic,2024-03-28,24,5,0.27,10,false,145000
CS044,Winning Strategy,Standard,2024-04-25,79,26,0.84,1,true,880000
CS045,Premium Excellence,Premium,2024-05-18,91,28,0.96,0,true,1920000
CS046,Foundation Strong,Basic,2024-06-15,19,3,0.18,14,false,120000
CS047,Victory Path,Standard,2024-02-10,71,19,0.71,3,true,720000
CS048,Crown Jewel,Premium,2024-03-22,87,27,0.90,1,true,1750000
CS049,Rising Excellence,Basic,2024-04-28,33,8,0.39,7,false,205000
CS050,Zenith Success,Standard,2024-05-25,76,24,0.83,2,true,840000
